gene_name,gene_type
DACH1,Tumor
DKC1,Tumor
DPEP1,Tumor
DYNLRB1,Tumor
EEF1B2,Tumor
EEF1G,Tumor
EEF2,Tumor
EIF3B,Tumor
EIF6,Tumor
ENTPD6,Tumor
EPHB2,Tumor
EPHB3,Tumor
EPPK1,Tumor
EREG,Tumor
ERGIC3,Tumor
ETS2,Tumor
FAM83H,Tumor
FERMT1,Tumor
GGH,Tumor
GNG4,Tumor
GOLIM4,Tumor
GPRC5A,Tumor
GPX2,Tumor
GSTP1,Tumor
H1F0,Tumor
H3F3A,Tumor
HIST1H1B,Tumor
HIST1H1C,Tumor
HNF4A,Tumor
HSP90AA1,Tumor
HSP90AB1,Tumor
HSPA1B,Tumor
HSPA8,Tumor
HSPD1,Tumor
HSPE1,Tumor
KIF5B,Tumor
KRT23,Tumor
LAPTM4B,Tumor
LGR5,Tumor
MARCKSL1,Tumor
MCM7,Tumor
MIF,Tumor
MPST,Tumor
MYC,Tumor
NDUFA4,Tumor
NDUFB9,Tumor
NELFCD,Tumor
NHP2,Tumor
NME2,Tumor
NOP16,Tumor
NQO1,Tumor
PCBD1,Tumor
PDHA1,Tumor
PDZD8,Tumor
PERP,Tumor
PGRMC1,Tumor
PLCB4,Tumor
PLPP2,Tumor
POF1B,Tumor
POLR1D,Tumor
PPDPF,Tumor
PRAP1,Tumor
PRDX2,Tumor
PRDX5,Tumor
PRELID3B,Tumor
PRKDC,Tumor
PSMA7,Tumor
PSMF1,Tumor
PTBP3,Tumor
PTP4A3,Tumor
PYGB,Tumor
RACK1,Tumor
RCN1,Tumor
RGMB,Tumor
RNF43,Tumor
S100A11,Tumor
S100P,Tumor
SAP18,Tumor
SCD,Tumor
SDC4,Tumor
SERINC3,Tumor
SET,Tumor
SLC12A2,Tumor
SMS,Tumor
SNRPB,Tumor
SNRPB2,Tumor
SOX4,Tumor
SRPK1,Tumor
STAU1,Tumor
STX3,Tumor
SYAP1,Tumor
SYNGR2,Tumor
TFRC,Tumor
THOC7,Tumor
TMEM106C,Tumor
TMEM238,Tumor
TSPAN6,Tumor
TUBA1C,Tumor
UBA52,Tumor
UXT,Tumor
VAV3,Tumor
XRN2,Tumor
YBX1,Tumor
YWHAZ,Tumor
ZNF703,Tumor
